道具名称,类型,品质,力量,护甲,智力,信仰,攻速,移速,暴击率,效果,物品描述,,
冈格尼尔,1,金,175,——,——,15,1,——,50%,,“奥丁的神枪，为秩序的神庭肃清混沌”,,
霍夫德,2,金,210,——,——,15,1,——,50%,,,,
莱瓦汀,2,金,380,——,——,5,0.6,——,40%,,“火之巨人史尔特尔的魔剑”,,
初罪,1,金,125,——,——,30,2,——,0%,,,,
格里菲斯,3,金,135,——,——,5,1,——,25%,,“优雅至极的弓，就该放进博物馆里”,,
天宫,3,金,95,——,——,10,1.75,——,80%,,,,
亚伦米勒,2,紫,205,——,——,5,0.75,——,20%,,“剑的主人去往英灵殿，徒留剑锋于人间沉沦”,,
矮人的得意之作,2,紫,60,——,——,45,1.5,——,100%,,“辛德里打出的第一把剑，一度是那个孩子吹嘘的资本”,,
洞心冥河,1,紫,135,——,——,-10,0.8,——,100%,,“刺穿敌人的心脏，从那空洞中窥见死神的容颜”,,
雾之国的遗藏,1,紫,145,——,——,10,1.1,——,25%,,,,
巨人国的擎弓,3,紫,700,——,——,15,0.35,——,0,,“约顿海姆最英勇的巨人的爱弓，不知是哪个大力毛贼偷出来的”,,
焚寂,3,紫,50,——,——,20,2,——,100%,,“传说，是由穆斯贝尔海姆岩浆中的骨骸凝成的”,,
精钢铁剑,2,蓝,130,——,——,0,1,——,10%,,“吾剑未尝不利”,,
骑兵利剑,2,蓝,150,——,——,5,0.75,——,15%,,,,
传说的鱼叉,1,蓝,70,——,——,0,1.2,——,60%,,“谁不想拥有一个投出就能插到鱼的神器鱼叉呢？”,,
骑兵长枪,1,蓝,110,——,——,5,1,——,15%,,,,
猎人弯弓,3,蓝,70,——,——,0,1.35,——,35%,,“嘿，你知道有多少野兔死在这家伙手下么？”,,
骑兵长弓,3,蓝,105,——,——,5,1,——,15%,,,,
金酿之盏,4,——,5,——,——,——,——,——,10%,使装备者暴击伤害提高20%,“嗝~我要把你喝翻到桌子底下去”,,
阿斯加德的烛火,4,——,——,——,25,30,——,5,——,使装备免疫一次蛊惑致死,,,
亚尔夫海姆的微光,4,——,——,——,——,10,0.5,10,——,,“不是萤火虫！”,,
永不止歇的圣餐,4,——,——,20,——,——,——,——,——,使装备者的蜜酿使用次数上限+1,“你是说，一块吃不完的面包？”,,
穆斯贝尔海姆的狂喰,4,——,5,5,50,-35,——,-5,——,装备者每次通过蛊惑击杀目标，回复10生命值,“一朵以岩浆和血为食的妖花”,,
冥神的对赌协议,5,——,——,-15,——,——,0.2,——,10%,装备者每次攻击，如果暴击则回复7生命值，如果未暴击，则损失7生命值,“将生命置于天平，和死亡的女神打赌”,,
疯狂的魔神像,4,——,100,-50,——,——,——,——,——,,“d...jov..j...al.cj..an.dal.d....mav..jl….a”,,
金苹果,4,——,——,10,10,10,——,——,——,有10%的概率使受到的攻击无效化,“放心，不是硬的”,,
贼神的长靴,4,——,——,——,——,——,——,20,——,,“想拥有一双眨眼间就能跨界旅行的好鞋吗？打开…搜索...”,,
守财奴的金钥,4,——,——,——,——,——,——,——,——,获得该神器时，立刻获得100尘环,“守了一辈子的财，只有钥匙最昂贵”,,
槲寄生,4,——,——,——,——,——,——,——,——,使装备者的远程攻击能够穿透敌人目标,“凶器”,,
芙蕾雅的研磨台,4,——,——,——,——,——,——,——,——,获得蜜酿时，使其数量+1,“没人觉得磨石的声音和指甲刮黑板差不多吗？”,,
偏执的恶意,4,——,——,——,——,——,——,——,——,拥有此神器的情况下，后续获取的所有神器都会变成“恶意的祈祷”,“最怕害人都要钻牛角尖”,,
恶意的祈祷,4,——,——,——,——,——,——,——,——,使装备者获得 y * 15的攻击力以及y * 5%的暴击率（y为“恶意的祈祷”的数量）,“道理我都懂，为什么UI不是巫毒娃娃？”,,
巨人甲胄,4,——,——,30,——,10,-0.25,——,——,,“这大的都能当你家了，伙计”,,
百战之盔,4,——,——,15,——,5,——,——,——,,,,
伊斯塔亚的孑遗,4,——,5,5,5,5,0.25,5,10%,,“某个沉没世界的遗孤…...”,,
伊斯塔亚的斩首者,4,——,15,——,——,——,——,——,——,装备者击杀怪物后，会在3s内获得35力量（状态刷新覆盖）,“听我说，其实这家伙以前是用来砍树的”,,
诅咒的温床,5,——,20,-20,——,——,-0.1,5,5%,装备者每次死亡，都会获得10的永久力量提升,“独守冥界与万魂相伴的女神，也渴盼温暖的床榻”,,
降死法典,5,——,——,-15,15,——,——,5,——,每次通过蛊惑击杀敌人，都会获得0.2智力,“生死簿”,,
喋血的獠牙,5,——,——,-100,——,——,1,5,——,每次攻击敌人回复3生命值,“别问了，那是芬里尔的牙垢”,,
亵渎的獠牙,5,——,——,——,——,-100,1,5,——,每次攻击敌人回复3蛊惑条,“不羁的巨狼，将用它最锋利的獠牙，撕碎日月，引来黄昏”,,
囚徒的思忆,5,——,20,——,——,——,0.5,-10,——,,“被监禁折磨的野兽，没有一日不在畅想离开镣铐的未来”,,
