道具名称,类型,品质,力量,护甲,智力,信仰,攻速,移速,暴击率,效果,文件名,物品描述,价格,,,,,,,,,,,,,,,
冈格尼尔,1,金,175,——,——,15,1,——,50%,,fc405,“奥丁的神枪，为秩序的神庭肃清混沌”,121,,,,,,,,,,,,,,,
霍夫德,2,金,210,——,——,15,1,——,50%,,fc1613,,128,,,,,,,,,,,,,,,
莱瓦汀,2,金,380,——,——,5,0.6,——,40%,,fc1708,“火之巨人史尔特尔的魔剑”,146,,,,,,,,,,,,,,,
初罪,1,金,125,——,——,30,2,——,0%,,fc1718,,114,,,,,,,,,,,,,,,
格里菲斯,3,金,135,——,——,5,1,——,25%,,fc1700,“优雅至极的弓，就该放进博物馆里”,106,,,,,,,,,,,,,,,
天宫,3,金,95,——,——,10,1.75,——,80%,,fc1806,,118,,,,,,,,,,,,,,,
亚伦米勒,2,紫,205,——,——,5,0.75,——,20%,,fc1598,“剑的主人去往英灵殿，徒留剑锋于人间沉沦”,85,,,,,,,,,,,,,,,
矮人的得意之作,2,紫,60,——,——,45,1.5,——,100%,,fc1692,“辛德里打出的第一把剑，一度是那个孩子吹嘘的资本”,82,,,,,,,,,,,,,,,
洞心冥河,1,紫,135,——,——,-10,0.8,——,100%,,fc1687,“刺穿敌人的心脏，从那空洞中窥见死神的容颜”,97,,,,,,,,,,,,,,,
雾之国的遗藏,1,紫,145,——,——,10,1.1,——,25%,,fc402,,94,,,,,,,,,,,,,,,
巨人国的擎弓,3,紫,700,——,——,15,0.35,——,0,,fc1644,“约顿海姆最英勇的巨人的爱弓，不知是哪个大力毛贼偷出来的”,115,,,,,,,,,,,,,,,
焚寂,3,紫,50,——,——,20,2,——,100%,,fc1705,“传说，是由穆斯贝尔海姆岩浆中的骨骸凝成的”,110,,,,,,,,,,,,,,,
精钢铁剑,2,蓝,130,——,——,0,1,——,10%,,fc1732,“吾剑未尝不利”,45,,,,,,,,,,,,,,,
骑兵利剑,2,蓝,150,——,——,5,0.75,——,15%,,fc1448,,38,,,,,,,,,,,,,,,
传说的鱼叉,1,蓝,70,——,——,0,1.2,——,60%,,fc1622,“谁不想拥有一个投出就能插到鱼的神器鱼叉呢？”,42,,,,,,,,,,,,,,,
骑兵长枪,1,蓝,110,——,——,5,1,——,15%,,fc401,,34,,,,,,,,,,,,,,,
猎人弯弓,3,蓝,70,——,——,0,1.35,——,35%,,fc1676,“嘿，你知道有多少野兔死在这家伙手下么？”,40,,,,,,,,,,,,,,,
骑兵长弓,3,蓝,105,——,——,5,1,——,15%,,fc1514,,31,,,,,,,,,,,,,,,
